   , N   , Choleskio laik.      , Lygčių spr. laik.   , Didžiausio nuolydžio iteracijų skaič., Python 1-os funkcijos laik., Python 2-os funkcijos laik., Python 3-os funkcijos laik., Python 4-os funkcijos laik.
111,  559, 165.0688648223877    , 2.0570755004882812  ,                                453798,        1.516103744506836   ,        1.2869834899902344  ,        0.7169246673583984  ,       130.68604469299316
112,  564, 168.35403442382812   , 2.0613670349121094  ,                                461932,        1.4052391052246094  ,        1.1677742004394531  ,        0.7159709930419922  ,       133.3601474761963
113,  569, 169.23999786376953   , 2.0818710327148438  ,                                470158,        1.6598701477050781  ,        1.3632774353027344  ,        0.7510185241699219  ,       138.05317878723145
114,  574, 172.09696769714355   , 2.107858657836914   ,                                478438,        1.5099048614501953  ,        1.3098716735839844  ,        0.7390975952148438  ,       140.8560276031494
115,  579, 177.04081535339355   , 2.1250247955322266  ,                                486810,        1.682281494140625   ,        1.7368793487548828  ,        0.7929801940917969  ,       144.98400688171387
116,  584, 179.4729232788086    , 2.1409988403320312  ,                                495234,        1.2612342834472656  ,        1.0631084442138672  ,        0.7798671722412109  ,       148.39696884155273
117,  589, 179.95882034301758   , 2.1288394927978516  ,                                503750,        1.7731189727783203  ,        1.4557838439941406  ,        0.7669925689697266  ,       152.53615379333496
118,  594, 185.16087532043457   , 2.1576881408691406  ,                                512320,        1.708984375         ,        1.4231204986572266  ,        0.7863044738769531  ,       155.6570529937744
119,  599, 188.10272216796875   , 2.1820068359375     ,                                520982,        1.8742084503173828  ,        1.5311241149902344  ,        0.8268356323242188  ,       159.79909896850586
120,  604, 196.16389274597168   , 2.341747283935547   ,                                529696,        1.7590522766113281  ,        1.4309883117675781  ,        0.84686279296875    ,       163.40923309326172
121,  609, 195.24097442626953   , 2.2411346435546875  ,                                538502,        1.8477439880371094  ,        1.5761852264404297  ,        0.8442401885986328  ,       167.85264015197754
122,  614, 196.93374633789062   , 2.2466182708740234  ,                                547360,        1.8780231475830078  ,        1.558065414428711   ,        0.8509159088134766  ,       171.3709831237793
123,  619, 198.46510887145996   , 2.376079559326172   ,                                556312,        1.8742084503173828  ,        1.6357898712158203  ,        0.8611679077148438  ,       175.87780952453613
124,  624, 204.94914054870605   , 2.3069381713867188  ,                                565316,        1.466989517211914   ,        1.2359619140625     ,        0.9322166442871094  ,       180.6020736694336
125,  629, 208.35018157958984   , 2.298116683959961   ,                                574412,        2.123117446899414   ,        1.7461776733398438  ,        0.9138584136962891  ,       184.62896347045898
126,  634, 209.99693870544434   , 2.307891845703125   ,                                583560,        2.0170211791992188  ,        1.6582012176513672  ,        0.9338855743408203  ,       187.90078163146973
127,  639, 214.21074867248535   , 2.3298263549804688  ,                                592802,        2.022981643676758   ,        1.7018318176269531  ,        0.9322166442871094  ,       193.62306594848633
128,  644, 217.11206436157227   , 2.3622512817382812  ,                                602096,        1.8796920776367188  ,        1.810312271118164   ,        0.9658336639404297  ,       197.48401641845703
129,  649, 221.574068069458     , 2.3882389068603516  ,                                611482,        2.44903564453125    ,        2.0859241485595703  ,        1.0502338409423828  ,       202.36802101135254
130,  654, 224.40600395202637   , 2.3927688598632812  ,                                620920,        1.9750595092773438  ,        1.7621517181396484  ,        1.0097026824951172  ,       206.96210861206055
131,  659, 227.68497467041016   , 2.4099349975585938  ,                                630450,        2.1886825561523438  ,        1.8389225006103516  ,        0.9808540344238281  ,       211.6379737854004
132,  664, 229.3851375579834    , 2.537250518798828   ,                                640034,        2.046823501586914   ,        1.4858245849609375  ,        1.051187515258789   ,       216.44163131713867
133,  669, 235.36419868469238   , 2.457141876220703   ,                                649710,        2.376079559326172   ,        2.0220279693603516  ,        1.016855239868164   ,       221.2679386138916
134,  674, 238.7847900390625    , 2.498149871826172   ,                                659438,        2.274036407470703   ,        2.0380020141601562  ,        1.0540485382080078  ,       226.1970043182373
